Website name,Website URL,Category
Arts,https://dmoztools.net/Arts/,arts
Movies,https://dmoztools.net/Arts/Movies/,arts
Television,https://dmoztools.net/Arts/Television/,arts
Music,https://dmoztools.net/Arts/Music/,arts
Business,https://dmoztools.net/Business/,business
Jobs,https://dmoztools.net/Business/Employment/,business
Real Estate,https://dmoztools.net/Business/Real_Estate/,business
Investing,https://dmoztools.net/Business/Investing/,business
Computers,https://dmoztools.net/Computers/,computers
Internet,https://dmoztools.net/Computers/Internet/,computers
Software,https://dmoztools.net/Computers/Software/,computers
Hardware,https://dmoztools.net/Computers/Hardware/,computers
Games,https://dmoztools.net/Games/,games
Video Games,https://dmoztools.net/Games/Video_Games/,games
RPGs,https://dmoztools.net/Games/Roleplaying/,games
Gambling,https://dmoztools.net/Games/Gambling/,games
Health,https://dmoztools.net/Health/,health
Fitness,https://dmoztools.net/Health/Fitness/,health
Medicine,https://dmoztools.net/Health/Medicine/,health
Alternative,https://dmoztools.net/Health/Alternative/,health
Home,https://dmoztools.net/Home/,home
Family,https://dmoztools.net/Home/Family/,home
Consumers,https://dmoztools.net/Home/Consumer_Information/,home
Cooking,https://dmoztools.net/Home/Cooking/,home
News,https://dmoztools.net/News/,news
Media,https://dmoztools.net/News/Media/,news
Newspapers,https://dmoztools.net/News/Newspapers/,news
Weather,https://dmoztools.net/News/Weather/,news
Recreation,https://dmoztools.net/Recreation/,recreation
Travel,https://dmoztools.net/Recreation/Travel/,recreation
Food,https://dmoztools.net/Recreation/Food/,recreation
Outdoors,https://dmoztools.net/Recreation/Outdoors/,recreation
Humor,https://dmoztools.net/Recreation/Humor/,recreation
Reference,https://dmoztools.net/Reference/,reference
Maps,https://dmoztools.net/Reference/Maps/,reference
Education,https://dmoztools.net/Reference/Education/,reference
Libraries,https://dmoztools.net/Reference/Libraries/,reference
Regional,https://dmoztools.net/Regional/,regional
US,https://dmoztools.net/Regional/North_America/United_States/,regional
Canada,https://dmoztools.net/Regional/North_America/Canada/,regional
UK,https://dmoztools.net/Regional/Europe/United_Kingdom/,regional
Europe,https://dmoztools.net/Regional/Europe/,regional
Science,https://dmoztools.net/Science/,science
Biology,https://dmoztools.net/Science/Biology/,science
Psychology,https://dmoztools.net/Science/Social_Sciences/Psychology/,science
Physics,https://dmoztools.net/Science/Physics/,science
Shopping,https://dmoztools.net/Shopping/,shopping
Clothing,https://dmoztools.net/Shopping/Clothing/,shopping
Food,https://dmoztools.net/Shopping/Food/,shopping
Gifts,https://dmoztools.net/Shopping/Gifts/,shopping
Society,https://dmoztools.net/Society/,society
People,https://dmoztools.net/Society/People/,society
Religion,https://dmoztools.net/Society/Religion_and_Spirituality/,society
Issues,https://dmoztools.net/Society/Issues/,society
Sports,https://dmoztools.net/Sports/,sports
Baseball,https://dmoztools.net/Sports/Baseball/,sports
Soccer,https://dmoztools.net/Sports/Soccer/,sports
Basketball,https://dmoztools.net/Sports/Basketball/,sports
Kids ,https://dmoztools.net/Kids_and_Teens/,kids_and_teens
 Teens Directory,https://dmoztools.net/Kids_and_Teens/Arts/,kids_and_teens
Arts,https://dmoztools.net/Kids_and_Teens/School_Time/,kids_and_teens
School Time,https://dmoztools.net/Kids_and_Teens/Teen_Life/,kids_and_teens
DMOZ ,https://dmoztools.net/World/,world
 World,https://dmoztools.net/World/Deutsch/,world
Deutsch,https://dmoztools.net/World/Fran%C3%A7ais/,world
Français,https://dmoztools.net/World/Japanese/,world
日本語,https://dmoztools.net/World/Italiano/,world
Italiano,https://dmoztools.net/World/Espa%C3%B1ol/,world
Español,https://dmoztools.net/World/Russian/,world
Русский,https://dmoztools.net/World/Nederlands/,world
Nederlands,https://dmoztools.net/World/Polski/,world
Polski,https://dmoztools.net/World/T%C3%BCrk%C3%A7e/,world
Türkçe,https://dmoztools.net/World/Dansk/,world
Dansk,https://dmoztools.net/World/Chinese_Simplified/,world
